ID,"Average Water Shadow price, THB per m3"
10,1.894873132
7,0.958108621
15,0.946221839
14,0.93376092
20,1.197832471
24,0.921826293
28,0.93692931
33,0.893837069
1,2.306152586
12,2.36615
5,1.120483333
25,0.952335345
9,0.946221839
