ID,Average RO in m3/month
10,88.2103924
7,134.0115993
15,559.7832859
14,228.9695012
20,136.874215
24,233.7197472
28,230.1609939
33,180.9065811
1,662.8467776
12,369.5364857
5,57.84484604
25,253.2915107
9,180.6702186
